lo,hi,sat,excl
0.68,1.05,0.9396770107663078,0.43655413271245636
0.68,1.1,0.9466434452184928,0.4254947613504074
0.68,1.15,0.9485433818872704,0.40407450523864963
0.68,1.2,0.949889170360988,0.3675203725261933
0.68,1.25,0.9504433185560481,0.3247962747380675
0.68,1.3,0.9506808106396454,0.28556461001164146
0.68,1.35,0.950759974667511,0.260535506402794
0.68,1.4,0.950759974667511,0.24959254947613507
0.68,1.45,0.9509183027232425,0.24679860302677536
0.68,1.5,0.9509183027232425,0.24528521536670544
0.68,1.55,0.9510766307789741,0.24423748544819557
0.68,1.6,0.9516307789740343,0.24295692665890567
0.68,1.65,0.9525015832805573,0.240512223515716
0.68,1.7,0.954084863837872,0.2393480791618161
0.68,1.75,0.9552723242558582,0.2379511059371362
0.68,1.8,0.9566181127295756,0.2367869615832363
0.68,1.85,0.9586763774540848,0.2355064027939464
0.68,1.9,0.9615262824572515,0.23445867287543654
0.68,1.95,0.9659594680177327,0.23294528521536673
0.68,2.0,0.9689677010766308,0.23189755529685685
0.68,2.05,0.9723717542748576,0.23073341094295696
0.68,2.1,0.9751424952501583,0.22980209545983699
0.68,2.15,0.9783882203926536,0.2287543655413271
0.68,2.2,0.9813964534515516,0.22770663562281723
0.68,2.25,0.9832963901203293,0.22700814901047728
0.68,2.3,0.98551298290057,0.22665890570430736
0.68,2.35,0.9870962634578847,0.22630966239813732
0.68,2.4,0.9886003799873337,0.22572759022118738
0.68,2.45,0.9893128562381254,0.22502910360884754
0.68,2.5,0.9901836605446485,0.22502910360884754
0.68,2.55,0.9905794806839772,0.2246798603026775
0.68,2.6,0.9908961367954402,0.22421420256111757
0.68,2.65,0.9911336288790373,0.22409778812572756
0.68,2.7,0.9913711209626346,0.22351571594877762
0.68,2.75,0.9916877770740975,0.2232828870779977
0.68,2.8,0.9923210892970235,0.22281722933643777
0.68,2.85,0.9927960734642178,0.22246798603026774
0.68,2.9,0.9932710576314123,0.2218859138533178
0.68,2.95,0.9934293856871438,0.22165308498253788
0.68,3.0,0.9935085497150095,0.22153667054714787
0.68,3.05,0.993666877770741,0.22130384167636785
0.68,3.1,0.9937460417986067,0.2207217694994179
0.68,3.15,0.9937460417986067,0.220488940628638
0.68,3.2,0.9938252058264725,0.220488940628638
0.68,3.25,0.9939043698543382,0.220372526193248
0.68,3.3,0.9939043698543382,0.220372526193248
0.68,3.35,0.9940626979100696,0.22002328288707795
0.68,3.4,0.9940626979100696,0.22002328288707795
0.68,3.45,0.9940626979100696,0.22002328288707795
0.68,3.5,0.9942210259658011,0.22002328288707795
0.68,3.55,0.9943001899936669,0.22002328288707795
0.69,1.0,0.8824414186193793,0.4585564610011641
0.69,1.05,0.9388062064597846,0.44447031431897555
0.69,1.1,0.9457726409119696,0.4334109429569266
0.69,1.15,0.9476725775807473,0.4119906868451688
0.69,1.2,0.9490183660544649,0.3754365541327125
0.69,1.25,0.949572514249525,0.3327124563445867
0.69,1.3,0.9498100063331222,0.29348079161816065
0.69,1.35,0.949889170360988,0.2684516880093132
0.69,1.4,0.949889170360988,0.25750873108265426
0.69,1.45,0.9500474984167194,0.25471478463329456
0.69,1.5,0.9500474984167194,0.25320139697322464
0.69,1.55,0.9502058264724509,0.25215366705471476
0.69,1.6,0.950759974667511,0.25087310826542486
0.69,1.65,0.9516307789740343,0.24842840512223519
0.69,1.7,0.953214059531349,0.2472642607683353
0.69,1.75,0.954401519949335,0.2458672875436554
0.69,1.8,0.9557473084230526,0.2447031431897555
0.69,1.85,0.9578055731475618,0.2434225844004656
0.69,1.9,0.9606554781507283,0.24237485448195573
0.69,1.95,0.9650886637112096,0.24086146682188592
0.69,2.0,0.9680968967701077,0.23981373690337604
0.69,2.05,0.9715009499683344,0.23864959254947615
0.69,2.1,0.9742716909436352,0.23771827706635618
0.69,2.15,0.9775174160861304,0.2366705471478463
0.69,2.2,0.9805256491450285,0.23562281722933642
0.69,2.25,0.9824255858138062,0.23492433061699647
0.69,2.3,0.9846421785940469,0.23457508731082655
0.69,2.35,0.9862254591513616,0.23422584400465662
0.69,2.4,0.9877295756808107,0.23364377182770668
0.69,2.45,0.9884420519316023,0.23294528521536673
0.69,2.5,0.9893128562381254,0.23294528521536673
0.69,2.55,0.9897086763774541,0.2325960419091967
0.69,2.6,0.990025332488917,0.23213038416763676
0.69,2.65,0.9902628245725142,0.23201396973224675
0.69,2.7,0.9905003166561115,0.2314318975552968
0.69,2.75,0.9908169727675744,0.2311990686845169
0.69,2.8,0.9914502849905004,0.23073341094295696
0.69,2.85,0.9919252691576947,0.23038416763678693
0.69,2.9,0.9924002533248891,0.22980209545983699
0.69,2.95,0.9925585813806207,0.22956926658905707
0.69,3.0,0.9926377454084864,0.22945285215366706
0.69,3.05,0.9927960734642178,0.22922002328288704
0.69,3.1,0.9928752374920836,0.2286379511059371
0.69,3.15,0.9928752374920836,0.2284051222351572
0.69,3.2,0.9929544015199493,0.2284051222351572
0.69,3.25,0.9930335655478151,0.22828870779976718
0.69,3.3,0.9930335655478151,0.22828870779976718
0.69,3.35,0.9931918936035465,0.22793946449359725
0.69,3.4,0.9931918936035465,0.22793946449359725
0.69,3.45,0.9931918936035465,0.22793946449359725
0.69,3.5,0.993350221659278,0.22793946449359725
0.69,3.55,0.9934293856871438,0.22793946449359725
