kind,lo,hi,sat,excl
two-sided,0.61,1.42,0.9526599113362888,0.19720605355064025
two-sided,0.61,1.44,0.9526599113362888,0.19604190919674036
two-sided,0.61,1.46,0.9526599113362888,0.19545983701979042
two-sided,0.61,1.48,0.9526599113362888,0.19464493597206056
two-sided,0.61,1.5,0.9526599113362888,0.19441210710128054
two-sided,0.61,1.52,0.9526599113362888,0.19429569266589053
two-sided,0.61,1.54,0.9526599113362888,0.19371362048894059
two-sided,0.61,1.56,0.9528182393920203,0.19313154831199064
two-sided,0.61,1.58,0.9530557314756175,0.19301513387660074
two-sided,0.61,1.6,0.9533723875870804,0.19208381839348077
two-sided,0.61,1.62,0.9537682077264091,0.1910360884749709
two-sided,0.61,1.64,0.9540056998100064,0.19010477299185102
two-sided,0.61,1.66,0.9548765041165295,0.18940628637951107
two-sided,0.61,1.68,0.9551931602279924,0.18894062863795114
two-sided,0.61,1.7,0.9558264724509183,0.1884749708963912
two-sided,0.61,1.72,0.9566181127295756,0.18766006984866124
two-sided,0.61,1.74,0.9567764407853071,0.18742724097788122
two-sided,0.61,1.76,0.9571722609246358,0.18684516880093127
two-sided,0.61,1.78,0.957726409119696,0.18661233993015136
two-sided,0.61,1.8,0.9583597213426219,0.1859138533178114
two-sided,0.61,1.82,0.9590721975934136,0.18533178114086146
two-sided,0.61,1.84,0.9595471817606079,0.18474970896391152
two-sided,0.61,1.86,0.9611304623179228,0.1844004656577416
two-sided,0.61,1.88,0.9620012666244458,0.18393480791618155
two-sided,0.61,1.9,0.9632678910702976,0.18358556461001163
two-sided,0.61,1.92,0.9650886637112096,0.1831199068684517
two-sided,0.61,1.94,0.9668302723242559,0.18218859138533183
two-sided,0.61,1.96,0.9687302089930335,0.1818393480791618
two-sided,0.61,1.98,0.9696801773274224,0.18102444703143195
two-sided,0.61,2.0,0.9707093096896771,0.18102444703143195
two-sided,0.61,2.02,0.9713426219126029,0.1806752037252619
two-sided,0.61,2.04,0.9734800506649778,0.180442374854482
two-sided,0.61,2.06,0.9746675110829639,0.17951105937136203
two-sided,0.61,2.08,0.97585497150095,0.17927823050058211
two-sided,0.61,2.1,0.9768841038632046,0.17892898719441208
two-sided,0.61,2.12,0.9779132362254591,0.17857974388824216
two-sided,0.61,2.14,0.9796548448385054,0.17823050058207213
two-sided,0.61,2.16,0.9809214692843572,0.17718277066356225
two-sided,0.61,2.18,0.982188093730209,0.17706635622817224
two-sided,0.61,2.2,0.9831380620645979,0.17683352735739233
two-sided,0.61,2.22,0.9839297023432553,0.17625145518044238
two-sided,0.61,2.24,0.9850379987333756,0.17613504074505237
two-sided,0.61,2.26,0.9854338188727042,0.17601862630966236
two-sided,0.61,2.28,0.9862254591513616,0.17578579743888245
two-sided,0.61,2.3,0.9872545915136162,0.17578579743888245
two-sided,0.61,2.32,0.9878087397086763,0.17578579743888245
two-sided,0.61,2.34,0.9886795440151995,0.17543655413271242
two-sided,0.61,2.36,0.9891545281823939,0.1750873108265425
two-sided,0.61,2.38,0.9898670044331855,0.1749708963911525
two-sided,0.61,2.4,0.99034198860038,0.17485448195576248
two-sided,0.61,2.42,0.9908169727675744,0.17462165308498256
two-sided,0.61,2.44,0.9908961367954402,0.17415599534342263
two-sided,0.61,2.46,0.9911336288790373,0.17415599534342263
two-sided,0.61,2.48,0.991529449018366,0.17415599534342263
two-sided,0.61,2.5,0.9919252691576947,0.17415599534342263
two-sided,0.61,2.52,0.9920835972134262,0.17415599534342263
two-sided,0.61,2.54,0.9923210892970235,0.1738067520372526
two-sided,0.61,2.56,0.9924002533248891,0.1736903376018626
two-sided,0.61,2.58,0.9924794173527549,0.1736903376018626
two-sided,0.61,2.6,0.9926377454084864,0.17334109429569267
two-sided,0.61,2.62,0.9927169094363522,0.17322467986030265
two-sided,0.61,2.64,0.9927960734642178,0.17322467986030265
two-sided,0.61,2.66,0.9929544015199493,0.17310826542491264
two-sided,0.61,2.68,0.9929544015199493,0.17275902211874272
two-sided,0.61,2.7,0.9931127295756809,0.1726426076833527
two-sided,0.61,2.72,0.9931918936035465,0.1725261932479627
two-sided,0.61,2.74,0.993350221659278,0.1724097788125728
two-sided,0.61,2.76,0.9934293856871438,0.1724097788125728
two-sided,0.61,2.78,0.9935085497150095,0.17206053550640277
two-sided,0.61,2.8,0.9940626979100696,0.17194412107101276
two-sided,0.61,2.82,0.9945376820772641,0.17194412107101276
two-sided,0.61,2.84,0.9945376820772641,0.17171129220023285
two-sided,0.61,2.86,0.9946960101329956,0.17147846332945282
two-sided,0.61,2.88,0.9949335022165928,0.1712456344586729
two-sided,0.61,2.9,0.9950126662444585,0.1710128055878929
two-sided,0.61,2.92,0.9950918302723243,0.17089639115250288
two-sided,0.61,2.94,0.99517099430019,0.17089639115250288
two-sided,0.61,2.96,0.9952501583280557,0.17077997671711287
two-sided,0.61,2.98,0.9952501583280557,0.17077997671711287
two-sided,0.61,3.0,0.9952501583280557,0.17066356228172297
two-sided,0.61,3.02,0.9952501583280557,0.17054714784633296
two-sided,0.61,3.04,0.9953293223559214,0.17043073341094295
two-sided,0.61,3.06,0.9954084863837872,0.17019790454016293
two-sided,0.61,3.08,0.9954084863837872,0.16996507566938301
two-sided,0.61,3.1,0.995487650411653,0.169848661233993
two-sided,0.61,3.12,0.995487650411653,0.169732246798603
two-sided,0.61,3.14,0.995487650411653,0.169732246798603
two-sided,0.61,3.16,0.9955668144395187,0.1696158323632131
two-sided,0.61,3.18,0.9955668144395187,0.1696158323632131
two-sided,0.61,3.2,0.9955668144395187,0.1696158323632131
two-sided,0.61,3.22,0.9955668144395187,0.1696158323632131
two-sided,0.61,3.24,0.9955668144395187,0.16949941792782308
two-sided,0.61,3.26,0.9956459784673845,0.16949941792782308
two-sided,0.61,3.28,0.9956459784673845,0.16949941792782308
two-sided,0.61,3.3,0.9956459784673845,0.16949941792782308
two-sided,0.61,3.32,0.9957251424952501,0.16926658905704306
two-sided,0.61,3.34,0.9958043065231159,0.16926658905704306
two-sided,0.61,3.36,0.9958043065231159,0.16915017462165305
two-sided,0.61,3.38,0.9958043065231159,0.16915017462165305
two-sided,0.61,3.4,0.9958043065231159,0.16915017462165305
two-sided,0.61,3.42,0.9958043065231159,0.16915017462165305
two-sided,0.61,3.44,0.9958043065231159,0.16915017462165305
two-sided,0.61,3.46,0.9958834705509816,0.16915017462165305
two-sided,0.61,3.48,0.9958834705509816,0.16915017462165305
two-sided,0.61,3.5,0.9959626345788474,0.16915017462165305
